range dose std
0.0375 1.46974 0.00287185
0.1125 1.46846 0.00186309
0.1875 1.45013 0.00140868
0.2625 1.42613 0.00115315
0.3375 1.39841 0.00100168
0.4125 1.36282 0.0008948
0.4875 1.31891 0.000770605
0.5625 1.27189 0.000747134
0.6375 1.21748 0.000639641
0.7125 1.16095 0.000625285
0.7875 1.10079 0.000573623
0.8625 1.0385 0.000521032
0.9375 0.974173 0.00047677
1.0125 0.909971 0.000457964
1.0875 0.844289 0.000433091
1.1625 0.778708 0.000392498
1.2375 0.716032 0.000362293
1.3125 0.654071 0.000342727
1.3875 0.595524 0.000339614
1.4625 0.538265 0.000278881
1.5375 0.483989 0.000258848
1.6125 0.432903 0.000256791
1.6875 0.385299 0.000222401
1.7625 0.34101 0.000213228
1.8375 0.300468 0.00019752
1.9125 0.262968 0.000186844
1.9875 0.229489 0.000166372
2.0625 0.198671 0.000150682
2.1375 0.171749 0.000137421
2.2125 0.147068 0.000125825
2.2875 0.125752 0.000112903
2.3625 0.10659 0.000109365
2.4375 0.0901103 9.38186e-05
2.5125 0.0758637 8.10643e-05
2.5875 0.0634151 7.70205e-05
2.6625 0.0527505 6.6248e-05
2.7375 0.0438591 6.13111e-05
2.8125 0.0360757 5.79247e-05
2.8875 0.0295998 5.20827e-05
2.9625 0.024167 4.50819e-05
3.0375 0.0196964 3.85217e-05
3.1125 0.0159199 3.45879e-05
3.1875 0.0127957 2.98309e-05
3.2625 0.0102858 2.72142e-05
3.3375 0.00822445 2.43037e-05
3.4125 0.00651983 2.15664e-05
3.4875 0.00519851 1.95571e-05
3.5625 0.00410983 1.67582e-05
3.6375 0.00325634 1.48808e-05
3.7125 0.00256857 1.31609e-05
3.7875 0.00203906 1.18744e-05
3.8625 0.00157674 1.04567e-05
3.9375 0.00125784 9.3025e-06
4.0125 0.00100358 8.31182e-06
4.0875 0.000798212 7.49731e-06
4.1625 0.00063386 7.35599e-06
4.2375 0.000511245 6.406e-06
4.3125 0.000405904 5.71931e-06
4.3875 0.000335509 4.98086e-06
4.4625 0.000285333 5.23224e-06
4.5375 0.000241778 4.74302e-06
4.6125 0.000192906 4.1152e-06
4.6875 0.000180607 5.0221e-06
4.7625 0.000153955 3.63802e-06
4.8375 0.000138329 3.32533e-06
4.9125 0.000128806 3.72281e-06
4.9875 0.000121075 3.71635e-06
5.0625 0.000105718 3.00087e-06
5.1375 9.97949e-05 3.11911e-06
5.2125 9.25193e-05 2.80379e-06
5.2875 8.92196e-05 3.02795e-06
5.3625 9.01256e-05 3.33604e-06
5.4375 8.67256e-05 2.93745e-06
5.5125 8.15056e-05 3.0196e-06
5.5875 7.58406e-05 2.89881e-06
5.6625 7.24573e-05 2.73313e-06
5.7375 7.34367e-05 3.03261e-06
5.8125 7.01449e-05 2.57775e-06
5.8875 6.89563e-05 2.70232e-06
5.9625 7.02908e-05 3.37561e-06
6.0375 6.58429e-05 2.4269e-06
6.1125 6.59649e-05 2.86012e-06
6.1875 6.22582e-05 2.65841e-06
6.2625 6.40568e-05 2.59608e-06
6.3375 6.27887e-05 2.25627e-06
6.4125 5.75813e-05 2.30816e-06
6.4875 5.63556e-05 2.19095e-06
6.5625 5.81984e-05 2.45304e-06
6.6375 5.88772e-05 2.42306e-06
6.7125 5.40091e-05 2.15385e-06
6.7875 5.23744e-05 1.97632e-06
6.8625 5.67336e-05 2.21433e-06
6.9375 5.58682e-05 2.26124e-06
7.0125 5.23638e-05 2.1152e-06
7.0875 5.0719e-05 1.92038e-06
7.1625 5.00612e-05 2.02268e-06
7.2375 4.96355e-05 1.95781e-06
7.3125 4.93294e-05 1.94163e-06
7.3875 4.83475e-05 1.78544e-06
7.4625 4.72531e-05 1.92842e-06
7.5375 4.8425e-05 1.85901e-06
7.6125 4.53538e-05 1.62107e-06
7.6875 4.63793e-05 1.93563e-06
7.7625 4.63203e-05 1.90146e-06
7.8375 4.41039e-05 1.78368e-06
7.9125 4.61022e-05 2.19867e-06
7.9875 4.35068e-05 1.53848e-06
8.0625 4.25382e-05 1.68402e-06
8.1375 4.19187e-05 1.63926e-06
8.2125 4.24354e-05 1.83108e-06
8.2875 4.44761e-05 1.94204e-06
8.3625 4.03339e-05 1.76693e-06
8.4375 4.10664e-05 1.61594e-06
8.5125 4.11239e-05 1.7114e-06
8.5875 4.11771e-05 1.51447e-06
8.6625 3.83865e-05 1.74608e-06
8.7375 3.9046e-05 2.09227e-06
8.8125 3.76018e-05 1.42615e-06
8.8875 3.83725e-05 1.72321e-06
8.9625 3.33308e-05 1.40976e-06
9.0375 3.72311e-05 1.50617e-06
9.1125 4.05245e-05 1.83348e-06
9.1875 3.60086e-05 1.31569e-06
9.2625 3.53199e-05 1.55854e-06
9.3375 3.57122e-05 1.65997e-06
9.4125 3.35827e-05 1.54342e-06
9.4875 3.52431e-05 1.35156e-06
9.5625 3.43628e-05 1.39261e-06
9.6375 3.54445e-05 1.57934e-06
9.7125 3.48672e-05 1.47225e-06
9.7875 3.28503e-05 1.41894e-06
9.8625 3.63319e-05 1.6292e-06
9.9375 3.60109e-05 1.75511e-06
10.0125 2.84976e-05 1.47458e-06
10.0875 2.86031e-05 1.70559e-06
10.1625 3.03091e-05 2.50315e-06
10.2375 3.12147e-05 2.28431e-06
10.3125 3.55218e-05 4.34002e-06
10.3875 4.39285e-05 6.00701e-06
10.4625 4.18663e-05 4.15049e-06
10.5375 4.1395e-05 5.28363e-06
10.6125 3.44458e-05 2.33651e-06
10.6875 4.1311e-05 3.72456e-06
10.7625 4.249e-05 4.19756e-06
10.8375 3.49492e-05 2.63708e-06
10.9125 4.46588e-05 7.12177e-06
10.9875 4.14243e-05 4.62372e-06
11.0625 3.16339e-05 2.45392e-06
11.1375 3.24221e-05 3.30526e-06
11.2125 3.37138e-05 3.0668e-06
11.2875 3.33702e-05 3.20747e-06
11.3625 3.20822e-05 2.36013e-06
11.4375 3.2379e-05 4.34807e-06
11.5125 3.2907e-05 3.74184e-06
11.5875 2.85461e-05 2.19544e-06
11.6625 3.03773e-05 2.46921e-06
11.7375 3.40701e-05 3.21488e-06
11.8125 3.83317e-05 4.46504e-06
11.8875 3.3995e-05 4.57851e-06
11.9625 2.77912e-05 2.45241e-06
12.0375 2.79027e-05 2.25536e-06
12.1125 2.96144e-05 2.68894e-06
12.1875 3.42148e-05 8.43436e-06
12.2625 2.70955e-05 2.2864e-06
12.3375 2.46421e-05 1.77339e-06
12.4125 2.50687e-05 1.81725e-06
12.4875 2.6152e-05 2.00415e-06
12.5625 2.21862e-05 1.72302e-06
12.6375 2.39864e-05 1.94154e-06
12.7125 2.9903e-05 3.26678e-06
12.7875 2.28583e-05 1.86252e-06
12.8625 2.36601e-05 2.18883e-06
12.9375 2.67862e-05 2.91841e-06
13.0125 2.73966e-05 2.54803e-06
13.0875 2.83409e-05 2.76648e-06
13.1625 3.07503e-05 3.36068e-06
13.2375 2.45238e-05 2.17277e-06
13.3125 3.02783e-05 3.21688e-06
13.3875 2.50922e-05 2.80141e-06
13.4625 2.62967e-05 2.06713e-06
13.5375 2.61074e-05 2.7576e-06
13.6125 2.88801e-05 3.21441e-06
13.6875 2.46443e-05 2.33577e-06
13.7625 2.33061e-05 2.17302e-06
13.8375 2.20538e-05 1.8295e-06
13.9125 2.30156e-05 2.10516e-06
13.9875 2.40348e-05 2.17172e-06
14.0625 2.70352e-05 2.81174e-06
14.1375 2.43111e-05 2.04407e-06
14.2125 2.40524e-05 2.40786e-06
14.2875 2.3503e-05 2.19649e-06
14.3625 2.26803e-05 1.82552e-06
14.4375 2.01165e-05 1.52011e-06
14.5125 2.45394e-05 2.12775e-06
14.5875 2.18335e-05 1.70743e-06
14.6625 2.4114e-05 2.59445e-06
14.7375 2.8766e-05 4.25566e-06
14.8125 2.69132e-05 3.49237e-06
14.8875 2.56347e-05 3.25954e-06
14.9625 2.16022e-05 2.33961e-06
